                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.85032,                0.61443,                 1.1742,                 0.7361,                0.69428,                0.65313,                0.40191,                 1.3989,                 1.3352,                 1.8494,             0.00056603,             0.00056603,             0.00056603
                     64,                0.78419,                0.62294,                 1.1098,                0.75946,                0.69428,                0.67904,                0.41646,                 1.4123,                 1.3083,                 1.8417,             0.00055188,             0.00055188,             0.00055188
                     65,                0.79283,                0.59056,                    1.1,                0.79503,                0.70922,                 0.7831,                0.47347,                 1.3731,                 1.1669,                  1.755,             0.00053773,             0.00053773,             0.00053773
                     66,                0.89947,                 0.6334,                 1.1618,                0.64825,                0.86906,                 0.7912,                0.46866,                 1.3893,                 1.1993,                 1.7671,             0.00052359,             0.00052359,             0.00052359
                     67,                   0.82,                0.60417,                 1.1476,                0.74162,                0.75189,                0.80295,                0.45362,                 1.3904,                 1.1669,                 1.7918,             0.00050944,             0.00050944,             0.00050944
                     68,                0.82223,                0.61681,                 1.0964,                0.75705,                 0.6862,                0.78905,                0.43406,                 1.4053,                 1.1582,                 1.8529,             0.00049529,             0.00049529,             0.00049529
                     69,                0.77865,                0.63414,                  1.081,                 0.7179,                0.72458,                0.77644,                0.43288,                 1.4135,                 1.2061,                 1.8497,             0.00048114,             0.00048114,             0.00048114
                     70,                0.78478,                0.57592,                 1.0997,                0.72217,                0.71961,                0.77813,                0.44354,                 1.3988,                 1.2194,                 1.8407,               0.000467,               0.000467,               0.000467
                     71,                0.75679,                 0.5865,                 1.1134,                0.79347,                 0.7114,                0.77366,                0.45172,                 1.3865,                 1.1922,                 1.8514,             0.00045285,             0.00045285,             0.00045285
                     72,                0.79777,                0.61171,                 1.1029,                0.88203,                0.71875,                0.77905,                0.44609,                  1.399,                 1.1391,                 1.8583,              0.0004387,              0.0004387,              0.0004387
                     73,                0.71445,                0.53871,                 1.0386,                  0.888,                0.74115,                0.78704,                0.43818,                  1.441,                 1.1364,                  1.874,             0.00042456,             0.00042456,             0.00042456
                     74,                0.75453,                0.55297,                  1.095,                0.89943,                0.74862,                0.79988,                0.44421,                 1.4591,                 1.0897,                 1.8779,             0.00041041,             0.00041041,             0.00041041
                     75,                0.81254,                0.56904,                 1.1264,                0.84613,                0.75488,                0.81265,                0.44756,                 1.4837,                 1.0417,                 1.8709,             0.00039626,             0.00039626,             0.00039626
                     76,                0.70507,                0.52597,                 1.0483,                0.86219,                0.75488,                 0.8048,                0.44567,                 1.4836,                 1.0607,                 1.8484,             0.00038211,             0.00038211,             0.00038211
                     77,                0.74937,                 0.5452,                 1.0736,                0.83115,                 0.7771,                0.80423,                0.45173,                 1.4691,                0.99116,                 1.8413,             0.00036797,             0.00036797,             0.00036797
